"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"p_0001";"v_1";"v_12";"v_13";"v_14";"v_15";"v_16";"v_17";"v_9";"v_20";"v_21";"v_10";"v_11";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6658839";"rts6658840";"rts6658841";"rts6669991";"rts6670219";"rts6674846";"rnd_pg_6658842"
"26";"0";"0";"31";"6658837";"-77";"129";"3442";"1";"5";"6";"5";"4";"5";"6";"6";"2";"-99";"25";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/111.0";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"0";"1";"0";"-77";"-77";"7007237f889eaf541af38c2a3281d579";"1";"0";"1686994918";"2023-06-17 09:41:58";"2023-06-17 09:44:07";"0000-00-00 00:00:00";"44";"0";"71";"113";"129";"120";"6658841"
"27";"0";"0";"31";"6658837";"-77";"119";"4753";"1";"6";"5";"6";"4";"6";"5";"7";"2";"-99";"20";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"4e7218bb1a3f8918554b7c6a936b484b";"1";"0";"1686998515";"2023-06-17 10:41:55";"2023-06-17 10:43:54";"0000-00-00 00:00:00";"20";"0";"66";"105";"119";"111";"6658841"
"28";"0";"0";"31";"6658837";"-77";"88";"3826";"1";"5";"6";"5";"4";"5";"5";"3";"2";"-99";"19";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"b7059f7e9191fdafba615d9f01593267";"1";"0";"1687000382";"2023-06-17 11:13:02";"2023-06-17 11:14:30";"0000-00-00 00:00:00";"10";"34";"0";"69";"88";"77";"6658840"
"29";"0";"0";"31";"6658837";"-77";"162";"5137";"1";"6";"5";"6";"4";"6";"4";"5";"1";"-99";"29";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"8e0931fdd7b19c05855b2fcc67588e3d";"1";"0";"1687014192";"2023-06-17 15:03:12";"2023-06-17 15:05:54";"0000-00-00 00:00:00";"44";"87";"0";"135";"162";"150";"6658840"
"30";"0";"0";"31";"6658837";"-77";"232";"4105";"1";"5";"4";"5";"2";"4";"4";"2";"2";"-99";"26";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"0";"1";"0";"-77";"-77";"5366c7fe04e05a7228b36e8e78847af1";"1";"0";"1687021909";"2023-06-17 17:11:49";"2023-06-17 17:15:41";"0000-00-00 00:00:00";"28";"0";"119";"201";"232";"216";"6658841"
"31";"0";"0";"31";"6658837";"-77";"172";"3844";"1";"6";"5";"6";"3";"6";"5";"1";"2";"-99";"18";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"1";"0";"0";"-77";"-77";"d23166bdc0a2870d6374999a4b4182bd";"1";"0";"1687023930";"2023-06-17 17:45:30";"2023-06-17 17:48:22";"0000-00-00 00:00:00";"13";"0";"97";"144";"172";"160";"6658841"
"32";"0";"0";"31";"6658837";"-77";"165";"4285";"1";"6";"6";"6";"4";"6";"6";"6";"2";"-99";"25";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15";"https://fu-berlin.sona-systems.com/exp_sign_up.aspx?experiment_id=138&timeslot_id=2458";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"2ddef43098293917517158d1b4a74fb2";"1";"0";"1687024423";"2023-06-17 17:53:43";"2023-06-17 17:56:28";"0000-00-00 00:00:00";"26";"0";"81";"147";"165";"152";"6658841"
"33";"0";"0";"31";"6658837";"-77";"122";"4903";"1";"6";"5";"6";"5";"6";"5";"3";"2";"-99";"20";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"1";"0";"-77";"-77";"69577f00ddfafa7c6f8c38f0e56022c1";"1";"0";"1687026527";"2023-06-17 18:28:47";"2023-06-17 18:30:49";"0000-00-00 00:00:00";"17";"52";"0";"93";"122";"110";"6658840"
"34";"0";"0";"31";"6658837";"-77";"153";"3337";"1";"6";"4";"6";"3";"5";"4";"3";"2";"-99";"40";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/113.0";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"1";"0";"-77";"-77";"ed42626c9b60c7c6e052caeffe70b887";"1";"0";"1687031777";"2023-06-17 19:56:17";"2023-06-17 19:58:50";"0000-00-00 00:00:00";"15";"70";"0";"126";"153";"139";"6658840"
"35";"0";"0";"31";"6658837";"-77";"119";"4501";"1";"3";"4";"5";"4";"5";"2";"1";"2";"-99";"20";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"1";"0";"-77";"-77";"408c40052f40ecdfb7c95e619969d62d";"1";"0";"1687040211";"2023-06-17 22:16:51";"2023-06-17 22:18:50";"0000-00-00 00:00:00";"8";"35";"0";"104";"119";"110";"6658840"
