"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"p_0001";"v_1";"v_12";"v_13";"v_14";"v_15";"v_16";"v_17";"v_9";"v_20";"v_21";"v_10";"v_11";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6658839";"rts6658840";"rts6658841";"rts6669991";"rts6670219";"rts6674846";"rnd_pg_6658842"
"10";"0";"0";"31";"6658837";"-77";"57";"-66";"1";"7";"7";"7";"7";"7";"7";"7";"1";"-99";"36";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15";"-99";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"1";"0";"0";"-77";"-77";"1f2469967f0d30de37415f6937278577";"1";"0";"1686577056";"2023-06-12 13:37:36";"2023-06-12 13:38:33";"0000-00-00 00:00:00";"29";"0";"32";"45";"57";"49";"6658841"
"9";"0";"0";"31";"6658837";"-77";"99";"-66";"1";"1";"1";"1";"1";"1";"1";"1";"4";"-99";"89";"2";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/114.0.5735.99 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"1";"1";"0";"-77";"-77";"2cb262d7c2d131be2e88fa25b8c80df7";"1";"0";"1686577053";"2023-06-12 13:37:33";"2023-06-12 13:39:12";"0000-00-00 00:00:00";"8";"13";"0";"70";"99";"78";"6658840"
"11";"0";"0";"31";"6658837";"-77";"65";"-66";"1";"7";"7";"7";"7";"7";"7";"7";"2";"-99";"99";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"1";"1";"0";"-77";"-77";"6c65de61c9b3be6199101ec170f854e2";"1";"0";"1686577853";"2023-06-12 13:50:53";"2023-06-12 13:51:58";"0000-00-00 00:00:00";"7";"0";"19";"51";"65";"55";"6658841"
"13";"0";"0";"31";"6658837";"-77";"224";"-66";"1";"5";"6";"5";"5";"5";"5";"6";"2";"-99";"38";"1";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"0";"1";"0";"-77";"-77";"ef24f902972aab296639bdbd7d13e7ac";"1";"0";"1686586224";"2023-06-12 16:10:24";"2023-06-12 16:14:08";"0000-00-00 00:00:00";"7";"0";"21";"82";"224";"212";"6658841"
